rank,address,status,score,trades30d,pnl30d,winRate,consistency,maxDrawdown,daysSinceLastTrade,firstSeenGeneration,reason
257,0xf070207d315d47fd07870e464d3ded9151f5ac55,watch,0.4500,500,-0.1131,0.4000,0.2000,0.1500,1,0,"borderline score 0.45; no copyability concerns detected"
258,0xc34b4901be324718c176100e350211d97b199296,watch,0.5900,469,0.0848,0.7200,0.3600,0.1500,1,0,"global score 0.59 above threshold 0.5, copyable"
258,0xeb6f0a13ea8c5a7a0514c25495adbe815c1025f0,watch,0.2200,1,0.0870,1.0000,1.0000,0.1500,1,0,"weak score 0.22; spreads usually wide; profit concentrated in one trade; few resolved trades"
259,0x3bf57663998170f8ca96c5e91fef4092a8aa2307,watch,0.6200,500,0.0828,0.8800,0.4400,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
259,0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3,watch,0.8100,113,0.6263,1.0000,0.5000,0.1500,1,0,"global score 0.81 above threshold 0.5, copyable"
260,0x7d249aa60d2be7ed0b477df0e22f9caf9791a93f,watch,0.4700,411,0.0670,0.1200,0.0600,0.1500,1,0,"borderline score 0.47; spreads usually wide"
261,0x161a7f666ca49d592848cf415b42f49a84714103,watch,0.5700,500,0.0850,0.5800,0.2900,0.1500,1,0,"global score 0.57 above threshold 0.5, copyable"
262,0x7414f47e227846765c8abb1048606003a57072a3,watch,0.6000,453,0.1501,0.8300,0.4200,0.1500,1,0,"global score 0.6 above threshold 0.5, copyable"
263,0x0108b937a5dc5981d6d90ba70a49109e949d0d26,watch,0.6200,303,0.1527,0.6400,0.3200,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
264,0x2d6ac4f70307102ac46e9e6ded67f3838ddf8add,watch,0.6500,500,0.0927,0.8300,0.4100,0.1500,1,0,"global score 0.65 above threshold 0.5, copyable"
264,0x3413c803c3a6efc8d963afbce2dcee48d3738ff2,watch,0.4400,456,-0.1410,0.4900,0.2500,0.1500,1,0,"borderline score 0.44; spreads usually wide"
265,0xdb27bbdd185b18be3319097e1fc40300bbecbce3,watch,0.2000,9,-1.0000,0.0000,0.0000,0.1500,1,0,"weak score 0.2; spreads usually wide"
266,0x492bb408693470df7d031ef48f3a5466055b45ee,watch,0.5600,300,0.0526,0.6200,0.3100,0.1500,1,0,"global score 0.56 above threshold 0.5, copyable"
267,0x1e8cd249f85c9feffb6f54178ac1d5ed28076452,watch,0.5800,335,0.0304,0.5300,0.2600,0.1500,1,0,"global score 0.58 above threshold 0.5, copyable"
268,0x5faedf67dbf85202c91d7efc94ddf15c585d4079,watch,0.5000,500,0.0572,0.1600,0.0800,0.1500,1,0,"global score 0.5 above threshold 0.5, copyable"
269,0x60d487bc9913e2395a53f9f49bb287393abacd9c,watch,0.3000,95,4.0642,0.3200,0.1600,0.1500,1,0,"weak score 0.3; spreads usually wide; profit concentrated in one trade"
270,0x3b21433b0407e45d683cad1fcb6ba0a6b33ba230,watch,0.4800,500,-0.0554,0.4000,0.2000,0.1500,1,0,"borderline score 0.48; spreads usually wide"
271,0x25867077c891354137bbaf7fde12eec6949cc893,watch,0.7900,245,0.7796,0.6000,0.3000,0.1500,1,0,"global score 0.79 above threshold 0.5, copyable"
